Course Code,Course Name,Course URL,Offering Terms,Enrolment Conditions,Outline URL,Overview
ACCT1501,Accounting and Financial Management 1A,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT1501/,"Term 1, Term 2, Term 3",Only available to single and double degree Business School students in Term 1. It will be offered to non-Business School students in Terms 2 and 3.,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT1501,"The compulsory core accounting unit will have a preparer perspective. It will provide an introduction to basic concepts in accounting and their application for decision making by a wide range of potential users (e.g., shareholders, investment analysts, lenders, managers etc). This unit should benefit students who wish to specialise in accounting, and will also be of value to students whose primary interest lies elsewhere in the field of business."
ACCT1511,Accounting and Financial Management 1B,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT1511/,"Summer Term, Term 1, Term 2, Term 3",Prerequisite: ACCT1501,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT1511,"Taken together, the accounting course in the compulsory core (ACCT1501) and this accounting course form an integrated study program designed to give students an understanding of the way in which financial information is generated and used, and to provide an appropriate platform for further study in accounting. On completion the first year accounting courses seek to develop students’:"
ACCT2101,Industry Placement 1,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT2101/,"Summer Term, Term 1, Term 2",Prerequisite: Enrolment in Accounting Co-op Major (ACCTB13554),https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT2101,"This course provides scholars with a practical application of the fundamental principles of accounting in an industry environment. This course is only available to Accounting, UNSW Business School Co-op Scholars who are enrolled in the BCom(Coop)."
ACCT2507,Introduction to Accounting Research,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT2507/, ,Prerequisite:ACCT1511 and a mark of 80 or higher.,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT2507,"This course provides an introduction to accounting research. The course is designed to introduce students to the methodologies and their application in management accounting, financial accounting, and auditing research. While ACCT2507 is not a pre-requisite for the undergraduate Accounting Honours program, it is highly recommended."
ACCT2522,Management Accounting 1,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT2522/,"Term 1, Term 2",Prerequisite: ACCT1511,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT2522,"This course examines management accounting practices directed towards the effective use of organisational resources in order to create value for customers and shareholders. It focuses on three interrelated themes: first, the design and operation of management accounting systems for planning and control; second, the role of management accounting practices in supporting effective resource management and process improvement; and, third, the manner in which these practices affect and are affected by human processes within organisations. We aim to encourage critical thinking about such issues, and to improve students' abilities to address these with confidence and creativity in a professional and work-based context. The course draws upon business practice, contemporary and international research, case studies, and the applied research experiences of course participants."
ACCT2542,Corporate Financial Reporting and Analysis,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT2542/,"Summer Term, Term 2",Prerequisite: ACCT1511,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT2542,"This intermediate financial accounting course is intended for students who will be involved in the preparation or use of corporate financial reports whether as accountants, financial executives, auditors, financial analysts, actuaries or legal advisors. This course builds on the foundation laid in ACCT1501 and ACCT1511 and covers financial reporting on, and analysis of, more complex business transactions, events and structures. Topics include, accounting for various types of equity investments such as subsidiaries, associates and joint ventures, tax effect accounting, disclosure issues and understanding the regulatory environment in which financial statements are prepared."
ACCT2672,Accounting Analytics for Business Decision Making,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT2672/,Term 3,Pre-requisite: ACCT2522 and 65+ WAM,http://www.handbook.unsw.edu.au/general/2018/SSAPO/previousEditions.html,
ACCT3202,Industry Placement 2,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT3202/,"Term 1, Term 2",Prerequisite: Enrolment in Accounting Co-op Major (ACCTB13554),https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT3202,This course provides scholars with a practical application of the fundamental principles of accounting in an industry environment.
ACCT3303,Industry Placement 3,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT3303/,"Term 2, Term 3",Prerequisite: Enrolment in Accounting Co-op Major (ACCTB13554),https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT3303,It is the third of three fully assessable Industry Training courses Co-op Scholars complete as part of their Bachelor of Commerce (Co-op) degree. It allows scholars to apply the fundamental principles of accounting and business management to accounting practices in their sponsoring organisation.
ACCT3563,Issues in Financial Reporting and Analysis,https://www.handbook.unsw.edu.au/undergraduate/courses/2020/ACCT3563/,"Term 1, Term 2, Term 3",Prerequisite:ACCT2542,https://www.business.unsw.edu.au/degrees-courses/course-outlines/ACCT3563,"Building on the foundation laid in ACCT2542, this course covers controversial issues in financial reporting, for example leases, sharebased payments, extractive industries, biological assets,foreign currency transactions, diversified operations, and derivative financial instruments. The course also covers topical issues related to the scope and quality of financial reports. Examples include environmental reporting, and the impact of cultural differences on accounting. Students are required use relevant accounting standards, accounting theories, and ethical theories to address particular accounting issues."
